管理id,アクアマリン,ルビー,トウキョウリメイク,R7新年会版,R7正式版,除外,管理ID_初年度登録,管理ID_バイク,管理ID_パッケージ,エントリー日,name,連絡,sns,情報,写真,なまえ,都道府県,身長,メーカー名情報,車種名情報,年式情報,オーナー備考,name_alph,エントリーNo.,pass_photo,pass_bg_maker,,US作業,UG作業,型番,メーカー,_メーカーAlph,_メーカー国,車種1,車種2,馬力ps,燃費km/l,燃費注釈,シートmm,全長mm,乾燥重量,装備重量,車重kg,車重の注釈,価格yen,税別価格,税率,税込価格yen,価格注釈,年式year,年式注釈,排気量,排気量単位,ミッション,気筒数,エンジンモーター,情報ソースURL,備考,,pass_bg_class,pass_back,確率,,pic_path
0033,△,,,,,,TMR05,0032,AR,2023/05/02,ふじのきクラブ,,https://twitter.com/takadaan,emo twitter,DM,@ふじのきクラブ,神奈川県,164cm,"トライアンフ　ボンネビル　2016 燃費16 高速21,2",,2016,,,33,src/img/bike_0033.jpg,src/img/bg_トライアンフ.svg, ,ok※注釈あり,,,トライアンフ,Triumph,イギリス,ボンネビル,,80,16,実燃費（オーナー情報）,785,2170,224,243,243,装備重量車重,162,,,151,希望小売価格,2016,※海外メーカーモデル,1200,cc,MT,2,4st,"https://www.bikebros.co.jp/catalog/10/31_3/#spec_top
https://www.webike.net/bike/14017/service/g7000/
https://ok.goobike.com/catalog/list/detail/index?bike_maker_cd=10&bike_series_cd=31&bike_cd=6&bike_model_id=7423",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0034,,,,,,除外,TMR05,,,2023/05/02,バック,,https://twitter.com/buck3720,emo twitter,ask,@バック,山形県,180cm,ホンダ　シャドー750,,2008,,,34,src/img/bike_0034.jpg,src/img/bg_ホンダ.svg, ,ok,,EBL-RC50,ホンダ,HONDA,日本,シャドー750,,44,15,実燃費（オーナー情報）,660,2510,239,258,258,装備重量車重,88,84,,88,希望小売価格,2008,日本仕様,745,cc,MT,2,4st,"https://www.webike.net/bike/287/service/g1182/
https://response.jp/article/2008/10/28/115629.html",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0035,△,,,,,,TMR05,0033,AR,2023/05/02,大阪工業大学卓上遊戯サークル,投稿,https://twitter.com/oit_tablegamee,https://twitter.com/oit_tablegame/status/1653390416874708992,同左,@わとりぃ,大阪府,169cm,YAMAHA,セロー250,2016,,,35,src/img/bike_0035.jpg,src/img/bg_ヤマハ.svg,,ok,,JBK-DG17J,ヤマハ,YAMAHA,日本,セロー250,,18,36,実燃費（投稿サイト情報）,830,2100,119,130,130,装備重量車重,49,47,,51,希望小売価格,2016,日本仕様,249,cc,MT,1,4st,"https://www.goobike.com/catalog/yamaha/serow250_7027.html
https://www.bikebros.co.jp/catalog/2/131_2",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0036,,◆,,,,,TMR05,0034,AR,2023/05/02,大阪工業大学卓上遊戯サークル,投稿,https://twitter.com/oit_tablegamee,https://twitter.com/oit_tablegame/status/1653394462855553026,同左,@ハヤ,兵庫県,168cm,YAMAHA,TDM850,1999,,,36,src/img/bike_0036.jpg,src/img/bg_ヤマハ.svg,,ok※燃費不明,,RN03J,ヤマハ,YAMAHA,日本,TDM850,,80,13,実燃費（投稿サイト情報）,795,2165,203,229,229,装備重量車重,80,,,80,希望小売価格,1999,日本仕様,849,cc,MT,2,4st,"https://www.bikebros.co.jp/catalog/2/65_2/#spec_top
https://www.bike-passion.net/market/yamaha/751cc/tdm850-all-model.htm",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0037,,◆,,,,,TMR05,0035,AR,2023/05/02,大阪工業大学卓上遊戯サークル,投稿,https://twitter.com/oit_tablegame,https://twitter.com/oit_tablegame/status/1653399788451184640,同左,@あべ,大阪府,175cm,Kawasaki,VERSYS-X 250 TOURER,2022,,,37,src/img/bike_0037.jpg,src/img/bg_カワサキ.svg,,ok※乾燥重量不明,,	2BK-LE250D,カワサキ,KAWASAKI,日本,VERSYS-X 250,TOURER,33,25,WMTC値燃費,815,2170,,183,183,装備重量車重,73,,,73,希望小売価格,2022,日本仕様,248,cc,MT,2,4st,https://www.bikebros.co.jp/catalog/4/74_5/#spec_top,,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0038,○,○,,○,,,TMR05,0036,AR,2023/05/10,らむ,投稿,https://twitter.com/Demon150gr_rm,https://twitter.com/demon150gr_rm/status/1656233364251353090?s=46&t=olu2qNjOCYIu26uvtLPpDw,同左,@らむ,福岡県,161cm,GPX,DEMON150gr,2019,,,38,src/img/bike_0038.jpg,src/img/bg_ジーピーエックス.svg,,ok※燃費、乾燥重量不明,,,ジーピーエックス,GPX,タイ,DEMON150GR,,12,36,実燃費（投稿サイト情報）,780,1835,,130,130,装備重量車重,34,,,34,希望小売価格,2019,※海外メーカーモデル,149,cc,MT,1,4st,"https://news.webike.net/motorcycle/22292/
https://www.bikebros.co.jp/catalog/152/999_1/#spec_top",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0039,,◆,,,,,TMR05,0037,AR,2023/05/11,てんちょす,投稿,https://twitter.com/racing_neet,https://twitter.com/racing_neet/status/1656486206337847298?t=0ufdZ3bX-iB5Y3MA0cXw7w&s=19,同左,@てんちょす,滋賀県,178cm,ホンダ,CBR1000RR,2008,2023/06/13馬力178ps,,39,src/img/bike_0039.jpg,src/img/bg_ホンダ.svg,,ok,,SC59,ホンダ,HONDA,日本,CBR1000RR,,118,17,実燃費（投稿サイト情報）,820,2080,178,201,201,装備重量車重,139,135,,142,希望小売価格,2008,日本仕様,999,cc,MT,4,4st,"https://www.webike.net/bike/303/service/g1280/
https://minkara.carview.co.jp/car/honda/cbr1000rr/nenpi/",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0040,,◆,,,,,TMR05,0038,AR,2023/05/14,しょーちゃん,DM ヴィレッジ,https://twitter.com/shochaan_bike,Twitter DM,同左,@しょーちゃん,神奈川県,170cm,kawasaki,Ninja400,2023,,,40,src/img/bike_0040.jpg,src/img/bg_カワサキ.svg,,ok※乾燥重量不明,,8BL-EX400L,カワサキ,KAWASAKI,日本,Ninja400,,48,26,WMTC値燃費,785,1990,,167,167,装備重量車重,76,,,76,希望小売価格,2023,日本仕様,398,cc,MT,2,4st,https://www.kawasaki-motors.com/mc/lineup/ninja400/,,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,3.13%,
0041,△,,,○,,,TMR05,0039,AR,2023/05/27,パン・ダイン,投稿,https://twitter.com/Panda_ine_BG,https://twitter.com/Panda_ine_BG/status/1662112569799364608?t=-x-yzSCwyJPfeX6Zlo8Uhw&s=19,,@やす,埼玉県,167cm,HONDA,Rebel250,2020,,,41,src/img/bike_0041.jpg,src/img/bg_ホンダ.svg,,ok※乾燥重量不明,,2BK-MC49,ホンダ,HONDA,日本,Rebel250,,26,34,WMTC値燃費,690,2205,,170,170,装備重量車重,60,59.9,,66,希望小売価格,2020,日本仕様,249,cc,MT,1,4st,"https://www.bikebros.co.jp/catalog/1/178_5#spec_top
https://kininarubikenews.com/archives/63356",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,3.13%,
0042,,◆,,,,,TMR05,0040,AR,2023/05/27,ともぞう,投稿,https://twitter.com/tomozou_vtr250,https://twitter.com/tomozou_vtr250/status/1662364759860338690,,@ともぞう,神奈川県,165cm,Kawasaki,Z1000,2019,,,42,src/img/bike_0042.jpg,src/img/bg_カワサキ.svg,,ok※乾燥重量不明,,2BL-ZXT00W,カワサキ,KAWASAKI,日本,Z1000,,141,18,WMTC値燃費,815,2050,,220,220,装備重量車重,115,,,115,希望小売価格,2019,日本仕様,1043,cc,MT,4,4st,"https://www.webike.net/bike/6283/service/g13629/
https://www.bikebros.co.jp/catalog/4/73_8/#spec_top",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0043,○,○,,○,,,TMR05,0041,AR,2023/06/04,ふみ,DM,,Twitter DM,同左,@ふみ,神奈川県,163cm,kawasaki,zx-14r,2020,※すみません...燃費は分からない🙇🏻‍♀️💦,,43,src/img/bike_0043.jpg,src/img/bg_カワサキ.svg,,ok※乾燥重量不明,,,カワサキ,KAWASAKI,日本,ZX-14R,,210,15,実燃費（投稿サイト情報）,800,2170,,269,269,装備重量車重,192,,,192,希望小売価格,2020,日本仕様,1441,cc,MT,4,4st,"https://www.bikebros.co.jp/catalog/4/72_9/
https://www.kawasaki1ban.com/news_topics/38788/
https://minkara.carview.co.jp/car/kawasakiindustry/zx-14r/nenpi/",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0044,○,,,,,,TMR05,0042,AR,2023/06/04,ふみ,DM,,Twitter DM,同左,@ふみ,神奈川県,163cm,kawasaki,Ninja1000SX,2020,実燃費▶︎23km/L,,44,src/img/bike_0044.jpg,src/img/bg_カワサキ.svg,,ok※乾燥重量不明,,2BL-ZXT02K,カワサキ,KAWASAKI,日本,Ninja1000SX,,141,18,WMTC値燃費,820,2100,,235,235,装備重量車重,160,,,160,希望小売価格,2020,日本仕様,1043,cc,MT,4,4st,https://ok.goobike.com/catalog/list/detail/index?bike_maker_cd=4&bike_series_cd=999&bike_cd=99&bike_model_id=15016#model_ttl,,,src/img/bg_large.svg,src/img/back_large.svg,,,
0045,△,,,,,,TMR05,0043,AR,2023/06/06,マル,DM,https://twitter.com/MARU3459,Twitter DM,同左,@マル,東京都,174cm,トライアンフ,BONNEVILLE T120,2018,実燃費▶︎25km/L,,45,src/img/bike_0045.jpg,src/img/bg_トライアンフ.svg,,全長と車両重量は、確度低め,,,トライアンフ,Triumph,イギリス,BONNEVILLE T120,,80,24,実燃費（投稿サイト情報）,785,2170,224,237,237,装備重量車重,153,,,153,希望小売価格,2018,※海外メーカーモデル,1200,cc,MT,2,4st,"https://www.webike.net/bike/14017/service/g13770/
https://ok.goobike.com/catalog/list/detail/index?bike_maker_cd=10&bike_series_cd=31&bike_cd=6&bike_model_id=7424",,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0046,,◆,,,,,TMR05,0044,AR,2023/06/07,いしかわ,local,-,local,同左,@いしかわ,熊本県,170cm,Yamaha,MT09 TRACER,2017,,,46,src/img/bike_0046.jpg,src/img/bg_ヤマハ.svg,,ok※乾燥重量不明,,2BL-RN51J,ヤマハ,YAMAHA,日本,MT09 TRACER,,116,21,実燃費（投稿サイト情報）,845,2160,,210,210,装備重量車重,107,,,107,希望小売価格,2017,日本仕様,847,cc,MT,3,4st,"https://www.webike.net/bike/13444/service/
https://minkara.carview.co.jp/car/yamaha/mt-09tracer/nenpi/",,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0047,△,,,,,,TMR05,0045,AR,2023/06/15,いしかわ,local,-,local,同左,@いしかわ,熊本県,170cm,Yamaha,NMAX125,2016,実燃費▶︎40km/L,,47,src/img/bike_0047.jpg,src/img/bg_ヤマハ.svg,,,,EBJ-SE86J,ヤマハ,YAMAHA,日本,NMAX125,,12,45,WMTC値燃費,765,1955,,127,127,装備重量車重,34,31.5,,34,希望小売価格,2016,日本仕様,124,cc,MT,1,4st,"https://www.bikebros.co.jp/catalog/2/188_1/
https://response.jp/article/2016/02/09/269424.html",,,src/img/bg_small.svg,src/img/back_small.svg,1.75%,1.56%,
0048,,◆,,,,,TMR05,0046,AR,2023/06/15,こばたけ,local,-,local,同左,@コバタケ,東京都,165cm,BMW,F800,2006,実燃費▶︎25km/L,,48,src/img/bike_0048.jpg,src/img/bg_ビーエムダブリュー.svg,,,,,ビーエムダブリュー,BMW,ドイツ,F800,,85,24,実燃費（投稿サイト情報）,790,2080,,210,210,装備重量車重,116,,,116,希望小売価格,2006,※海外メーカーモデル,798,cc,MT,2,4st,"https://www.virginbmw.com/models/f800s-2006/
https://minkara.carview.co.jp/car/bmw/f800s/nenpi/",,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0049,,◆,,,,,TMR05,0047,AR,2023/06/15,こばたけ,local,-,local,同左,@コバタケ,東京都,165cm,kawasaki,ZX-6R,2022,実燃費▶︎18km/L,,49,src/img/bike_0049.jpg,src/img/bg_カワサキ.svg,,,,2BL-ZX636G,カワサキ,KAWASAKI,日本,ZX-6R,,132,18,WMTC値燃費,830,2025,,197,197,装備重量車重,138,,,138,希望小売価格,2022,日本仕様,636,cc,MT,4,4st,https://www.kawasaki-motors.com/mc/lineup/ninjazx-6r/,,,src/img/bg_large.svg,src/img/back_large.svg,,,
0050,,◆,,,,,TMR05,0048,AR,2023/06/21,こばたけ,local,-,local,同左,@コバタケ,東京都,165cm,honda,VTR250,2002,実燃費▶︎24km/L,,50,src/img/bike_0050.jpg,src/img/bg_ホンダ.svg,,,,BA-MC33,ホンダ,HONDA,日本,VTR250,,32,28,実燃費（投稿サイト情報）,760,2035,141,155,155,装備重量車重,45,44.9,,47,希望小売価格,2002,日本仕様,249,cc,MT,2,4st,"https://www.webike.net/bike/196/service/g828/
https://www.honda.co.jp/news/2002/2021218-vtr.html
https://minkara.carview.co.jp/car/honda/vtr250/nenpi/",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0051,,◆,,○,,,TMR05,0049,AR,2023/06/21,こばたけ,local,-,local,同左,@コバタケ,東京都,165cm,suzuki,TL1000R,2000,実燃費▶︎15km/L,,51,src/img/bike_0051.jpg,src/img/bg_スズキ.svg,,,,VT52A,スズキ,SUZUKI,日本,TL1000R,,93,18,実燃費（投稿サイト情報）,815,2105,197,,197,乾燥重量車重,98,,,98,中古相場価格税込,2000,日本仕様,995,cc,MT,2,4st,"https://www.bikebros.co.jp/catalog/3/69_1/#spec_top
https://www.goobike.com/maker-suzuki/car-tl1000r/index.html",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0052,△,,,,,,TMR05,0050,AR,2023/06/21,こばたけ,local,-,local,同左,@コバタケ,東京都,165cm,honda,CBR650R,2021,実燃費▶︎22km/L,,52,src/img/bike_0052.jpg,src/img/bg_ホンダ.svg,,,,2BL-RH03,ホンダ,HONDA,日本,CBR650R,,95,21,WMTC値燃費,810,2120,,206,206,装備重量車重,98,97.9,,108,希望小売価格,2021,日本仕様,649,cc,MT,4,4st,"https://www.bikebros.co.jp/catalog/1/999_77/#spec_top
https://hondago-bikerental.jp/bike-lab/3978.html",,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0053,,◆,,,,,TMR05,0051,AR,2023/06/21,こばたけ,local,-,local,同左,@コバタケ,東京都,165cm,kawasaki,ER-4n,2012,実燃費▶︎20km/L,,53,src/img/bike_0053.jpg,src/img/bg_カワサキ.svg,,,,ER400B,カワサキ,KAWASAKI,日本,ER-4n,,44,23,実燃費（投稿サイト情報）,785,2100,,203,203,装備重量車重,70,,,70,希望小売価格,2012,日本仕様,399,cc,MT,4,4st,"https://www.bikebros.co.jp/catalog/4/24_4/#spec_top
https://www.goobike.com/catalog/KAWASAKI/ER_4N/index.html",,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0054,○,,,,,,TMR05,0052,AR,2023/06/24,ウワガキ,local,-,local,同左,@ウワガキみわた,神奈川県,170cm,ハスクバーナ,Vitpilen 401,2022,実燃費▶︎32km/L,,54,src/img/bike_0054.jpg,src/img/bg_ハスクバーナ.svg,,ok※装備重量、全長不明,,,ハスクバーナ,Husqvarna,スエーデン,Vitpilen 401,,44,32,実燃費（オーナー情報）,835,2090,151,,151,乾燥重量車重,77,70,10%,77,希望小売価格,2022,※海外メーカーモデル,373,cc,MT,1,4st,https://www.bikebros.co.jp/catalog/38/999_3/,,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0055,△,,,○,,,TMR05,0053,AR,2023/07/12,青木さん,DM,https://twitter.com/gLVW8IT40698201,TwitterDM,同左,@ちょむちょむ,神奈川県,168cm,YAMAHA,XSR900,2016,実燃費▶24km/L,,55,src/img/bike_0055.jpg,src/img/bg_ヤマハ.svg,,,,EBL-RN46J/N703E,ヤマハ,YAMAHA,日本,XSR900,,110,19,WMTC値燃費,830,2075,,195,195,装備重量,,96.5,8%,104,希望小売価格,2016,日本仕様,845,cc,MT,3,4st,"https://www.webike.net/bike/13697/service/g5688/
https://global.yamaha-motor.com/jp/news/2016/0223/xsr900.html",,,src/img/bg_large.svg,src/img/back_large.svg,,,
0056,△,,,○,,,TMR05,0054,AR,2023/07/12,青木さん,DM,https://twitter.com/gLVW8IT40698201,TwitterDM,同左,@ちょむちょむ,神奈川県,168cm,YAMAHA,TZR125,1990,実燃費▶22km/L,,56,src/img/bike_0056.jpg,src/img/bg_ヤマハ.svg,,,,3TY,ヤマハ,YAMAHA,日本,TZR125,,22,20,実燃費（投稿サイト情報）,765,2025,116,121,121,装備重量,,32.9,,34,希望小売価格,1990,日本仕様,124,cc,MT,1,2st,https://www.bikebros.co.jp/catalog/2/76_2/#spec_top,,,src/img/bg_small.svg,src/img/back_small.svg,,,
0057,△,,,○,,,TMR05,0055,AR,2023/07/23,井上さん,LINE ヴィレッジ,https://twitter.com/shochaan_bike,LINE展示グループ,同左,@しょーちゃん,神奈川県,170cm,kawasaki,ZX4R SE ,2024,"MT
77馬力（ラムエア加圧時80馬力）
シート 800
全長 1990
車重 190kg
価格 112万円
4気筒",,57,src/img/bike_0057.jpg,src/img/bg_カワサキ.svg,,,,	8BL-ZX400P,カワサキ,KAWASAKI,日本,Ninja ZX-4R SE ,,80,20,WMTC値燃費,800,1990,,190,190,装備重量,112,102,10%,112,希望小売価格,2024,日本仕様,399,cc,MT,4,4st,https://www.kawasaki-motors.com/mc/lineup/ninjazx-4r/,,,src/img/bg_medium.svg,src/img/back_medium.svg,,,
0058,△,,,,,,TMR05,0056,AR,2023/07/23,ひろくん,LINE ヴィレッジ,-,LINE展示グループ,同左,@ヒロくん,東京都,175cm,ハーレーダビッドソン,99最終エボ,1999,"ミッション MT
シート高 570
全長 2430
車重 220kg
価格 480万円　燃費6",,58,src/img/bike_0058.jpg,src/img/bg_ハーレーダビッドソン.svg,,,,,ハーレーダビッドソン,Harley-Davidson,アメリカ,EVOLUTION,,65,6,実燃費（オーナー情報）,570,2430,,220,220,装備重量,480,,,480,中古相場価格税込,1999,※海外メーカーモデル,1340,cc,MT,2,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,,,
0059,,◆,,,,,TMR05,0057,AR,2023/07/30,井上さん,LINE ヴィレッジ,https://twitter.com/shochaan_bike,Twitter DM,同左,@しょーちゃん,神奈川県,170cm,kawasaki,Ninja400,2023,"kawasaki Z250
MT
36馬力
シート 795
全長 1990
車重 164
価格 63
年式 2019",,59,src/img/bike_0059.jpg,src/img/bg_カワサキ.svg,,,,2BK-EX250P,カワサキ,KAWASAKI,日本, Z250,,37,27,WMTC値燃費,795,1990,,164,164,装備重量,60,,,60,希望小売価格,2019,日本仕様,248,cc,MT,2,4st,https://www.bikebros.co.jp/catalog/4/73_13/#spec_topp,,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,3.13%,
0060,,,◆,,,,TMR05,0001,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,60,src/img/bike_0060.jpg,src/img/bg_ホンダ.svg,,,,2BL-SC79,ホンダ,HONDA,日本,Gold Wing Tour,,126,18,WMTC値燃費,745,2615,,389,389,装備重量,"3,465,000",,,347,希望小売価格,1988,日本仕様,1833,cc,AT,6,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0061,,,◆,,,,TMR05,0002,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,61,src/img/bike_0061.jpg,src/img/bg_ホンダ.svg,,,,2BL-SC82,ホンダ,HONDA,日本,CBR1000RR-R,FIREBLADE,218,15,WMTC値燃費,830,2100,,201,201,装備重量,"2,420,000",,,242,希望小売価格,2020,日本仕様,999,cc,MT,4,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,3.13%,
0062,,,,,,除外,TMR05,0003,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,62,src/img/bike_0062.jpg,src/img/bg_ホンダ.svg,,,,,ホンダ,HONDA,日本,NC750X,〈DCT〉,58,29,WMTC値燃費,800,2210,,224,224,装備重量,"990,000",,,99,希望小売価格,2014,日本仕様,745,cc,AT,2,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,,,
0063,,,◆,,,,TMR05,0004,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,63,src/img/bike_0063.jpg,src/img/bg_ホンダ.svg,,,,8BL-RH10,ホンダ,HONDA,日本,X-ADV,,58,28,WMTC値燃費,790,2200,,236,236,装備重量,"1,320,000",,,132,希望小売価格,2017,日本仕様,745,cc,AT,2,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0064,,,◆,,,,TMR05,0005,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,64,src/img/bike_0064.jpg,src/img/bg_ホンダ.svg,,,,2BL-RH03,ホンダ,HONDA,日本,CB650R,,95,21,WMTC値燃費,810,2120,,201,201,装備重量,"979,000",,,98,希望小売価格,2019,日本仕様,648,cc,MT,4,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0065,,,,,,除外,TMR05,0006,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,65,src/img/bike_0065.jpg,src/img/bg_ホンダ.svg,,,,,ホンダ,HONDA,日本,CB400,SUPER BOL D'OR,56,21,WMTC値燃費,755,2080,,206,206,装備重量,"1,040,600",,,104,希望小売価格,1976,日本仕様,399,cc,MT,4,4st,,,,src/img/bg_medium.svg,src/img/back_medium.svg,,,
0066,,,◆,,,,TMR05,0007,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,66,src/img/bike_0066.jpg,src/img/bg_ホンダ.svg,,,,2BL-NC59,ホンダ,HONDA,日本,GB350,,20,41,WMTC値燃費,800,2180,,180,180,装備重量,"550,000",,,55,希望小売価格,2021,日本仕様,348,cc,MT,1,4st,,,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0067,,,◆,,,,TMR05,0008,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,67,src/img/bike_0067.jpg,src/img/bg_ホンダ.svg,,,,2BK-MC51,ホンダ,HONDA,日本,CBR250RR,,41,27,WMTC値燃費,790,2065,,168,168,装備重量,"821,700",,,82,希望小売価格,1990,日本仕様,249,cc,MT,2,4st,,,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,3.13%,
0068,,,,,,除外,TMR05,0009,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,68,src/img/bike_0068.jpg,src/img/bg_ホンダ.svg,,,,,ホンダ,HONDA,日本,CB250R,,27,34,WMTC値燃費,795,2020,,144,144,装備重量,"564,300",,,56,希望小売価格,2018,日本仕様,249,cc,MT,1,4st,,,,src/img/bg_medium.svg,src/img/back_medium.svg,,,
0069,,,◆,,,,TMR05,0010,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,69,src/img/bike_0069.jpg,src/img/bg_ホンダ.svg,,,,2BK-MC49,ホンダ,HONDA,日本,レブル250,,26,34,WMTC値燃費,690,2205,,170,170,装備重量,"599,500",,,60,希望小売価格,1985,日本仕様,249,cc,MT,1,4st,,,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0070,,,◆,,,,TMR05,0011,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,70,src/img/bike_0070.jpg,src/img/bg_ホンダ.svg,,,,2BK-MF15,ホンダ,HONDA,日本,フォルツァ,,23,33,WMTC値燃費,780,2145,,186,186,装備重量,"658,900",,,66,希望小売価格,2000,日本仕様,249,cc,AT,1,4st,,,,src/img/bg_medium.svg,src/img/back_medium.svg,1.75%,1.56%,
0071,,,◆,,,,TMR05,0012,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,71,src/img/bike_0071.jpg,src/img/bg_ホンダ.svg,,,,2BJ-JA55,ホンダ,HONDA,日本,CT125・ハンターカブ,,9,67,WMTC値燃費,800,1960,,120,120,装備重量,"440,000",,,44,希望小売価格,2020,日本仕様,124,cc,AT,1,4st,,,,src/img/bg_small.svg,src/img/back_small.svg,,,
0072,,,◆,,,,TMR05,0013,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,72,src/img/bike_0072.jpg,src/img/bg_ホンダ.svg,,,,8BJ-JB03,ホンダ,HONDA,日本,モンキー125,,9,70,WMTC値燃費,776,1710,,104,104,装備重量,"440,000",,,44,希望小売価格,2018,日本仕様,123,cc,MT,1,4st,,,,src/img/bg_small.svg,src/img/back_small.svg,,,
0073,,,◆,,,,TMR05,0014,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,73,src/img/bike_0073.jpg,src/img/bg_ホンダ.svg,,,,2BJ-JC92,ホンダ,HONDA,日本,グロム,,10,69,WMTC値燃費,761,1760,,102,102,装備重量,"385,000",,,39,希望小売価格,2013,日本仕様,123,cc,MT,1,4st,,,,src/img/bg_small.svg,src/img/back_small.svg,,,
0074,,,◆,,,,TMR05,0015,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,74,src/img/bike_0074.jpg,src/img/bg_ホンダ.svg,,,,2BH-AA09,ホンダ,HONDA,日本,スーパーカブ50,,4,69,WMTC値燃費,735,1860,,96,96,装備重量,"247,500",,,25,希望小売価格,1958,日本仕様,49,cc,AT,1,4st,,,,src/img/bg_small.svg,src/img/back_small.svg,,,
0075,,,,,,除外,TMR05,0016,TK,,,,,,,#初年度の発売年式,バイクが好きだ,2021年情報 ,,,,,,75,src/img/bike_0075.jpg,src/img/bg_ホンダ.svg,,,,,ホンダ,HONDA,日本,ジャイロ X,,5,60,WMTC値燃費,735,1700,,110,110,装備重量,"404,800",,,40,希望小売価格,1982,日本仕様,49,cc,AT,1,4st,,,,src/img/bg_small.svg,src/img/back_small.svg,,,
0076,,,◆,,,,TMR05,0017,TK,,,,,,,#初年度の発売年式,ヤマハが美しい,2021年情報 ,,,,,,76,src/img/bike_0076.jpg,src/img/bg_ヤマハ.svg,,,,2BL-VN09J,ヤマハ,YAMAHA,日本,BOLT,Rスペック,54,21,WMTC値燃費,690,2290,,252,252,装備重量,"1,045,000",,,105,希望小売価格,2013,日本仕様,941,cc,MT,2,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
0077,,,,,,除外,TMR05,0018,TK,,,,,,,#初年度の発売年式,ヤマハが美しい,2021年情報 ,,,,,,77,src/img/bike_0077.jpg,src/img/bg_ヤマハ.svg,,,,,ヤマハ,YAMAHA,日本,TRACER9 GT,,120,20,WMTC値燃費,820,2175,,220,220,装備重量,"1,452,000",,,145,希望小売価格,2015,日本仕様,888,cc,MT,3,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,,,
0078,,,◆,,,,TMR05,0019,TK,,,,,,,#初年度の発売年式,ヤマハが美しい,2021年情報 ,,,,,,78,src/img/bike_0078.jpg,src/img/bg_ヤマハ.svg,,,,2BL-RN58J,ヤマハ,YAMAHA,日本,NIKEN GT,,116,18,WMTC値燃費,835,2150,,267,267,装備重量,"1,980,000",,,198,希望小売価格,2019,日本仕様,845,cc,MT,3,4st,,,,src/img/bg_large.svg,src/img/back_large.svg,1.75%,1.56%,
